Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,4u7 16V,C19666
"C102, C103, C104, C105, C106, C107, C108, C110",0402,8,100n,C1525
"C109, C111, C112",0402,3,1u,C52923
"C113, C301",0402,2,100n 16V,C1525
"C114, C115",0603,2,30p 50V,C1658
"C116, C117",0603,2,2u2 16V,C23630
"C118, C119",0603,2,8p2 50V,C1685
"C401, C402",0805,2,22u 25V,C45783
C501,0805,1,1u 50V,C28323
C502,1206,1,10u 50V,C13585
C503,1206,1,47uF 10V,C96123
D101,0603,1,LED green,C72043
D102,0603,1,LED yellow,C72038
D103,0603,1,LED red,C2286
D104,0603,1,LED blue,C72041
D105,D_SOD-323,1,1N5819WS,C191023
D106,D_SMA,1,SS210,C14996
D401,0603,1,LED green (PWR),C72043
D501,D_SMA,1,SS34,C8678
J201,SHOU HAN TYPE-C 16PIN 2MD(073),1,SHOU HAN TYPE-C 16PIN 2MD(073) (C2765186),C2765186
L101,0805,1,600Ω@100MHz,C1017
L501,L_Sunlord_SWPA6045S,1,68uH 1A,C142105
R101,0402,1,47,C25118
R102,0402,1,10k,C25744
"R103, R401",0402,2,200,C25087
"R104, R105",0402,2,330,C25104
R106,0402,1,150,C25082
"R201, R202",0402,2,5k1,C25905
R203,0402,1,1k5,C25867
U101,LQFP-100_14x14mm_P0.5mm,1,STM32F407VGT6,C12345
U401,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U501,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5.0,C61063
Y101,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
Y102,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C95361
